well,Row,Column,BioRep,pH,Batch,Plate,Number,Species,Strain,Protocol,BatchN,OD
D2,D,2,B,4,1A1,0708,7,Gardnerella piotii,JCP8066,1,1,0.0674
E2,E,2,B,4,1A1,0708,7,Gardnerella piotii,JCP8066,1,1,0.0671
F2,F,2,B,4,1A1,0708,7,Gardnerella piotii,JCP8066,1,1,0.0678
G2,G,2,Blank,4,1A1,0708,Blank,NA,NA,NA,NA,0.0628
H2,H,2,A,7,1A1,0708,7,Gardnerella piotii,JCP8066,1,1,0.7017
A3,A,3,A,4.5,1A1,0708,7,Gardnerella piotii,JCP8066,1,1,0.1097
B3,B,3,A,4.5,1A1,0708,7,Gardnerella piotii,JCP8066,1,1,0.1191
C3,C,3,A,4.5,1A1,0708,7,Gardnerella piotii,JCP8066,1,1,0.1131
D3,D,3,B,4.5,1A1,0708,7,Gardnerella piotii,JCP8066,1,1,0.1116
E3,E,3,B,4.5,1A1,0708,7,Gardnerella piotii,JCP8066,1,1,0.1147
F3,F,3,B,4.5,1A1,0708,7,Gardnerella piotii,JCP8066,1,1,0.116
G3,G,3,Blank,4.5,1A1,0708,Blank,NA,NA,NA,NA,0.0976
H3,H,3,A,7,1A1,0708,7,Gardnerella piotii,JCP8066,1,1,0.7029
A4,A,4,A,5,1A1,0708,7,Gardnerella piotii,JCP8066,1,1,0.0911
B4,B,4,A,5,1A1,0708,7,Gardnerella piotii,JCP8066,1,1,0.0947
C4,C,4,A,5,1A1,0708,7,Gardnerella piotii,JCP8066,1,1,0.0959
D4,D,4,B,5,1A1,0708,7,Gardnerella piotii,JCP8066,1,1,0.106
E4,E,4,B,5,1A1,0708,7,Gardnerella piotii,JCP8066,1,1,0.1026
F4,F,4,B,5,1A1,0708,7,Gardnerella piotii,JCP8066,1,1,0.1025
G4,G,4,Blank,5,1A1,0708,Blank,NA,NA,NA,NA,0.0708
H4,H,4,B,7,1A1,0708,7,Gardnerella piotii,JCP8066,1,1,0.7448
A5,A,5,A,5.5,1A1,0708,7,Gardnerella piotii,JCP8066,1,1,0.0875
B5,B,5,A,5.5,1A1,0708,7,Gardnerella piotii,JCP8066,1,1,0.0899
C5,C,5,A,5.5,1A1,0708,7,Gardnerella piotii,JCP8066,1,1,0.1262
D5,D,5,B,5.5,1A1,0708,7,Gardnerella piotii,JCP8066,1,1,0.1175
E5,E,5,B,5.5,1A1,0708,7,Gardnerella piotii,JCP8066,1,1,0.1196
F5,F,5,B,5.5,1A1,0708,7,Gardnerella piotii,JCP8066,1,1,0.1107
G5,G,5,Blank,5.5,1A1,0708,Blank,NA,NA,NA,NA,0.0511
H5,H,5,B,7,1A1,0708,7,Gardnerella piotii,JCP8066,1,1,0.768
A6,A,6,A,6,1A1,0708,7,Gardnerella piotii,JCP8066,1,1,0.162
B6,B,6,A,6,1A1,0708,7,Gardnerella piotii,JCP8066,1,1,0.129
C6,C,6,A,6,1A1,0708,7,Gardnerella piotii,JCP8066,1,1,0.1922
D6,D,6,B,6,1A1,0708,7,Gardnerella piotii,JCP8066,1,1,0.2265
E6,E,6,B,6,1A1,0708,7,Gardnerella piotii,JCP8066,1,1,0.3198
F6,F,6,B,6,1A1,0708,7,Gardnerella piotii,JCP8066,1,1,0.248
G6,G,6,Blank,6,1A1,0708,Blank,NA,NA,NA,NA,0.0503
H6,H,6,Blank,7,1A1,0708,Blank,NA,NA,NA,NA,0.0557
A7,A,7,A,3.5,1A1,0708,8,Gardnerella sp. 8,Gv101,1,1,0.0615
B7,B,7,A,3.5,1A1,0708,8,Gardnerella sp. 8,Gv101,1,1,0.0633
C7,C,7,A,3.5,1A1,0708,8,Gardnerella sp. 8,Gv101,1,1,0.0628
D7,D,7,B,3.5,1A1,0708,8,Gardnerella sp. 8,Gv101,1,1,0.0654
E7,E,7,B,3.5,1A1,0708,8,Gardnerella sp. 8,Gv101,1,1,0.0658
F7,F,7,B,3.5,1A1,0708,8,Gardnerella sp. 8,Gv101,1,1,0.0638
G7,G,7,Blank,3.5,1A1,0708,Blank,NA,NA,NA,NA,0.0561
H7,H,7,A,7,1A1,0708,8,Gardnerella sp. 8,Gv101,1,1,0.0513
A8,A,8,A,4,1A1,0708,8,Gardnerella sp. 8,Gv101,1,1,0.0687
B8,B,8,A,4,1A1,0708,8,Gardnerella sp. 8,Gv101,1,1,0.071
C8,C,8,A,4,1A1,0708,8,Gardnerella sp. 8,Gv101,1,1,0.0716
D8,D,8,B,4,1A1,0708,8,Gardnerella sp. 8,Gv101,1,1,0.0734
E8,E,8,B,4,1A1,0708,8,Gardnerella sp. 8,Gv101,1,1,0.0765
F8,F,8,B,4,1A1,0708,8,Gardnerella sp. 8,Gv101,1,1,0.0824
G8,G,8,Blank,4,1A1,0708,Blank,NA,NA,NA,NA,0.0655
H8,H,8,A,7,1A1,0708,8,Gardnerella sp. 8,Gv101,1,1,0.0514
A9,A,9,A,4.5,1A1,0708,8,Gardnerella sp. 8,Gv101,1,1,0.1145
B9,B,9,A,4.5,1A1,0708,8,Gardnerella sp. 8,Gv101,1,1,0.1359
C9,C,9,A,4.5,1A1,0708,8,Gardnerella sp. 8,Gv101,1,1,0.1199
D9,D,9,B,4.5,1A1,0708,8,Gardnerella sp. 8,Gv101,1,1,0.1276
E9,E,9,B,4.5,1A1,0708,8,Gardnerella sp. 8,Gv101,1,1,0.132
F9,F,9,B,4.5,1A1,0708,8,Gardnerella sp. 8,Gv101,1,1,0.1382
G9,G,9,Blank,4.5,1A1,0708,Blank,NA,NA,NA,NA,0.1008
H9,H,9,A,7,1A1,0708,8,Gardnerella sp. 8,Gv101,1,1,0.0558
A10,A,10,A,5,1A1,0708,8,Gardnerella sp. 8,Gv101,1,1,0.1053
B10,B,10,A,5,1A1,0708,8,Gardnerella sp. 8,Gv101,1,1,0.1359
C10,C,10,A,5,1A1,0708,8,Gardnerella sp. 8,Gv101,1,1,0.1093
D10,D,10,B,5,1A1,0708,8,Gardnerella sp. 8,Gv101,1,1,0.1239
E10,E,10,B,5,1A1,0708,8,Gardnerella sp. 8,Gv101,1,1,0.1077
F10,F,10,B,5,1A1,0708,8,Gardnerella sp. 8,Gv101,1,1,0.1169
G10,G,10,Blank,5,1A1,0708,Blank,NA,NA,NA,NA,0.0701
H10,H,10,B,7,1A1,0708,8,Gardnerella sp. 8,Gv101,1,1,0.7197
A11,A,11,A,5.5,1A1,0708,8,Gardnerella sp. 8,Gv101,1,1,0.1627
B11,B,11,A,5.5,1A1,0708,8,Gardnerella sp. 8,Gv101,1,1,0.1656
C11,C,11,A,5.5,1A1,0708,8,Gardnerella sp. 8,Gv101,1,1,0.1544
D11,D,11,B,5.5,1A1,0708,8,Gardnerella sp. 8,Gv101,1,1,0.1551
E11,E,11,B,5.5,1A1,0708,8,Gardnerella sp. 8,Gv101,1,1,0.1414
F11,F,11,B,5.5,1A1,0708,8,Gardnerella sp. 8,Gv101,1,1,0.1485
G11,G,11,Blank,5.5,1A1,0708,Blank,NA,NA,NA,NA,0.0525
H11,H,11,B,7,1A1,0708,8,Gardnerella sp. 8,Gv101,1,1,0.7398
A12,A,12,A,6,1A1,0708,8,Gardnerella sp. 8,Gv101,1,1,0.2638
B12,B,12,A,6,1A1,0708,8,Gardnerella sp. 8,Gv101,1,1,0.2593
C12,C,12,A,6,1A1,0708,8,Gardnerella sp. 8,Gv101,1,1,0.2957
D12,D,12,B,6,1A1,0708,8,Gardnerella sp. 8,Gv101,1,1,0.2474
E12,E,12,B,6,1A1,0708,8,Gardnerella sp. 8,Gv101,1,1,0.2678
F12,F,12,B,6,1A1,0708,8,Gardnerella sp. 8,Gv101,1,1,0.2493
G12,G,12,Blank,6,1A1,0708,Blank,NA,NA,NA,NA,0.0497
H12,H,12,Blank,7,1A1,0708,Blank,NA,NA,NA,NA,0.0552
A1,A,1,A,3.5,1A2,0102,1,Gardnerella vaginalis,C0011E4,1,2,0.07
B1,B,1,A,3.5,1A2,0102,1,Gardnerella vaginalis,C0011E4,1,2,0.07
C1,C,1,A,3.5,1A2,0102,1,Gardnerella vaginalis,C0011E4,1,2,0.07
D1,D,1,B,3.5,1A2,0102,1,Gardnerella vaginalis,C0011E4,1,2,0.075
E1,E,1,B,3.5,1A2,0102,1,Gardnerella vaginalis,C0011E4,1,2,0.076
F1,F,1,B,3.5,1A2,0102,1,Gardnerella vaginalis,C0011E4,1,2,0.078
G1,G,1,Blank,3.5,1A2,0102,Blank,NA,NA,NA,NA,0.065
H1,H,1,A,7,1A2,0102,1,Gardnerella vaginalis,C0011E4,1,2,0.717
A2,A,2,A,4,1A2,0102,1,Gardnerella vaginalis,C0011E4,1,2,0.1
B2,B,2,A,4,1A2,0102,1,Gardnerella vaginalis,C0011E4,1,2,0.103
C2,C,2,A,4,1A2,0102,1,Gardnerella vaginalis,C0011E4,1,2,0.117
D2,D,2,B,4,1A2,0102,1,Gardnerella vaginalis,C0011E4,1,2,0.111
E2,E,2,B,4,1A2,0102,1,Gardnerella vaginalis,C0011E4,1,2,0.11
F2,F,2,B,4,1A2,0102,1,Gardnerella vaginalis,C0011E4,1,2,0.108
G2,G,2,Blank,4,1A2,0102,Blank,NA,NA,NA,NA,0.094
H2,H,2,A,7,1A2,0102,1,Gardnerella vaginalis,C0011E4,1,2,1.047
A3,A,3,A,4.5,1A2,0102,1,Gardnerella vaginalis,C0011E4,1,2,0.154
B3,B,3,A,4.5,1A2,0102,1,Gardnerella vaginalis,C0011E4,1,2,0.171
C3,C,3,A,4.5,1A2,0102,1,Gardnerella vaginalis,C0011E4,1,2,0.17
D3,D,3,B,4.5,1A2,0102,1,Gardnerella vaginalis,C0011E4,1,2,0.159
E3,E,3,B,4.5,1A2,0102,1,Gardnerella vaginalis,C0011E4,1,2,0.156
F3,F,3,B,4.5,1A2,0102,1,Gardnerella vaginalis,C0011E4,1,2,0.162
G3,G,3,Blank,4.5,1A2,0102,Blank,NA,NA,NA,NA,0.115
H3,H,3,A,7,1A2,0102,1,Gardnerella vaginalis,C0011E4,1,2,1.073
A4,A,4,A,5,1A2,0102,1,Gardnerella vaginalis,C0011E4,1,2,0.305
B4,B,4,A,5,1A2,0102,1,Gardnerella vaginalis,C0011E4,1,2,0.343
C4,C,4,A,5,1A2,0102,1,Gardnerella vaginalis,C0011E4,1,2,0.328
D4,D,4,B,5,1A2,0102,1,Gardnerella vaginalis,C0011E4,1,2,0.233
E4,E,4,B,5,1A2,0102,1,Gardnerella vaginalis,C0011E4,1,2,0.272
F4,F,4,B,5,1A2,0102,1,Gardnerella vaginalis,C0011E4,1,2,0.23
G4,G,4,Blank,5,1A2,0102,Blank,NA,NA,NA,NA,0.086
H4,H,4,B,7,1A2,0102,1,Gardnerella vaginalis,C0011E4,1,2,0.525
A5,A,5,A,5.5,1A2,0102,1,Gardnerella vaginalis,C0011E4,1,2,0.453
B5,B,5,A,5.5,1A2,0102,1,Gardnerella vaginalis,C0011E4,1,2,0.538
C5,C,5,A,5.5,1A2,0102,1,Gardnerella vaginalis,C0011E4,1,2,0.554
D5,D,5,B,5.5,1A2,0102,1,Gardnerella vaginalis,C0011E4,1,2,0.24
E5,E,5,B,5.5,1A2,0102,1,Gardnerella vaginalis,C0011E4,1,2,0.255
F5,F,5,B,5.5,1A2,0102,1,Gardnerella vaginalis,C0011E4,1,2,0.27
G5,G,5,Blank,5.5,1A2,0102,Blank,NA,NA,NA,NA,0.059
H5,H,5,B,7,1A2,0102,1,Gardnerella vaginalis,C0011E4,1,2,0.562
A6,A,6,A,6,1A2,0102,1,Gardnerella vaginalis,C0011E4,1,2,0.465
B6,B,6,A,6,1A2,0102,1,Gardnerella vaginalis,C0011E4,1,2,0.596
C6,C,6,A,6,1A2,0102,1,Gardnerella vaginalis,C0011E4,1,2,0.617
D6,D,6,B,6,1A2,0102,1,Gardnerella vaginalis,C0011E4,1,2,0.264
E6,E,6,B,6,1A2,0102,1,Gardnerella vaginalis,C0011E4,1,2,0.283
F6,F,6,B,6,1A2,0102,1,Gardnerella vaginalis,C0011E4,1,2,0.278
G6,G,6,Blank,6,1A2,0102,Blank,NA,NA,NA,NA,0.077
H6,H,6,Blank,7,1A2,0102,Blank,NA,NA,NA,NA,0.057
A7,A,7,A,3.5,1A2,0102,2,Gardnerella sp. 3,C0040C2,1,2,0.075
B7,B,7,A,3.5,1A2,0102,2,Gardnerella sp. 3,C0040C2,1,2,0.081
C7,C,7,A,3.5,1A2,0102,2,Gardnerella sp. 3,C0040C2,1,2,0.079
D7,D,7,B,3.5,1A2,0102,2,Gardnerella sp. 3,C0040C2,1,2,0.075
E7,E,7,B,3.5,1A2,0102,2,Gardnerella sp. 3,C0040C2,1,2,0.074
F7,F,7,B,3.5,1A2,0102,2,Gardnerella sp. 3,C0040C2,1,2,0.076
G7,G,7,Blank,3.5,1A2,0102,Blank,NA,NA,NA,NA,0.07
H7,H,7,A,7,1A2,0102,2,Gardnerella sp. 3,C0040C2,1,2,0.534
A8,A,8,A,4,1A2,0102,2,Gardnerella sp. 3,C0040C2,1,2,0.088
B8,B,8,A,4,1A2,0102,2,Gardnerella sp. 3,C0040C2,1,2,0.099
C8,C,8,A,4,1A2,0102,2,Gardnerella sp. 3,C0040C2,1,2,0.097
D8,D,8,B,4,1A2,0102,2,Gardnerella sp. 3,C0040C2,1,2,0.113
E8,E,8,B,4,1A2,0102,2,Gardnerella sp. 3,C0040C2,1,2,0.106
F8,F,8,B,4,1A2,0102,2,Gardnerella sp. 3,C0040C2,1,2,0.105
G8,G,8,Blank,4,1A2,0102,Blank,NA,NA,NA,NA,0.097
H8,H,8,A,7,1A2,0102,2,Gardnerella sp. 3,C0040C2,1,2,0.567
A9,A,9,A,4.5,1A2,0102,2,Gardnerella sp. 3,C0040C2,1,2,0.093
B9,B,9,A,4.5,1A2,0102,2,Gardnerella sp. 3,C0040C2,1,2,0.11
C9,C,9,A,4.5,1A2,0102,2,Gardnerella sp. 3,C0040C2,1,2,0.116
D9,D,9,B,4.5,1A2,0102,2,Gardnerella sp. 3,C0040C2,1,2,0.1
E9,E,9,B,4.5,1A2,0102,2,Gardnerella sp. 3,C0040C2,1,2,0.117
F9,F,9,B,4.5,1A2,0102,2,Gardnerella sp. 3,C0040C2,1,2,0.118
G9,G,9,Blank,4.5,1A2,0102,Blank,NA,NA,NA,NA,0.115
H9,H,9,A,7,1A2,0102,2,Gardnerella sp. 3,C0040C2,1,2,0.547
A10,A,10,A,5,1A2,0102,2,Gardnerella sp. 3,C0040C2,1,2,0.095
B10,B,10,A,5,1A2,0102,2,Gardnerella sp. 3,C0040C2,1,2,0.093
C10,C,10,A,5,1A2,0102,2,Gardnerella sp. 3,C0040C2,1,2,0.093
D10,D,10,B,5,1A2,0102,2,Gardnerella sp. 3,C0040C2,1,2,0.084
E10,E,10,B,5,1A2,0102,2,Gardnerella sp. 3,C0040C2,1,2,0.081
F10,F,10,B,5,1A2,0102,2,Gardnerella sp. 3,C0040C2,1,2,0.085
G10,G,10,Blank,5,1A2,0102,Blank,NA,NA,NA,NA,0.083
H10,H,10,B,7,1A2,0102,2,Gardnerella sp. 3,C0040C2,1,2,0.547
A11,A,11,A,5.5,1A2,0102,2,Gardnerella sp. 3,C0040C2,1,2,0.288
B11,B,11,A,5.5,1A2,0102,2,Gardnerella sp. 3,C0040C2,1,2,0.235
C11,C,11,A,5.5,1A2,0102,2,Gardnerella sp. 3,C0040C2,1,2,0.226
D11,D,11,B,5.5,1A2,0102,2,Gardnerella sp. 3,C0040C2,1,2,0.218
E11,E,11,B,5.5,1A2,0102,2,Gardnerella sp. 3,C0040C2,1,2,0.19
F11,F,11,B,5.5,1A2,0102,2,Gardnerella sp. 3,C0040C2,1,2,0.195
G11,G,11,Blank,5.5,1A2,0102,Blank,NA,NA,NA,NA,0.06
H11,H,11,B,7,1A2,0102,2,Gardnerella sp. 3,C0040C2,1,2,0.414
A12,A,12,A,6,1A2,0102,2,Gardnerella sp. 3,C0040C2,1,2,0.309
B12,B,12,A,6,1A2,0102,2,Gardnerella sp. 3,C0040C2,1,2,0.37
C12,C,12,A,6,1A2,0102,2,Gardnerella sp. 3,C0040C2,1,2,0.383
D12,D,12,B,6,1A2,0102,2,Gardnerella sp. 3,C0040C2,1,2,0.375
E12,E,12,B,6,1A2,0102,2,Gardnerella sp. 3,C0040C2,1,2,0.349
F12,F,12,B,6,1A2,0102,2,Gardnerella sp. 3,C0040C2,1,2,0.339
G12,G,12,Blank,6,1A2,0102,Blank,NA,NA,NA,NA,0.067
H12,H,12,Blank,7,1A2,0102,Blank,NA,NA,NA,NA,0.054
A1,A,1,A,3.5,1A2,0304,3,Gardnerella vaginalis,14018,1,2,0.075
B1,B,1,A,3.5,1A2,0304,3,Gardnerella vaginalis,14018,1,2,0.075
C1,C,1,A,3.5,1A2,0304,3,Gardnerella vaginalis,14018,1,2,0.074
D1,D,1,B,3.5,1A2,0304,3,Gardnerella vaginalis,14018,1,2,0.071
E1,E,1,B,3.5,1A2,0304,3,Gardnerella vaginalis,14018,1,2,0.072
F1,F,1,B,3.5,1A2,0304,3,Gardnerella vaginalis,14018,1,2,0.075
G1,G,1,Blank,3.5,1A2,0304,Blank,NA,NA,NA,NA,0.067
H1,H,1,A,7,1A2,0304,3,Gardnerella vaginalis,14018,1,2,0.588
A2,A,2,A,4,1A2,0304,3,Gardnerella vaginalis,14018,1,2,0.099
B2,B,2,A,4,1A2,0304,3,Gardnerella vaginalis,14018,1,2,0.105
C2,C,2,A,4,1A2,0304,3,Gardnerella vaginalis,14018,1,2,0.106
D2,D,2,B,4,1A2,0304,3,Gardnerella vaginalis,14018,1,2,0.102
E2,E,2,B,4,1A2,0304,3,Gardnerella vaginalis,14018,1,2,0.1
F2,F,2,B,4,1A2,0304,3,Gardnerella vaginalis,14018,1,2,0.104
G2,G,2,Blank,4,1A2,0304,Blank,NA,NA,NA,NA,0.095
H2,H,2,A,7,1A2,0304,3,Gardnerella vaginalis,14018,1,2,0.82
A3,A,3,A,4.5,1A2,0304,3,Gardnerella vaginalis,14018,1,2,0.132
B3,B,3,A,4.5,1A2,0304,3,Gardnerella vaginalis,14018,1,2,0.149
C3,C,3,A,4.5,1A2,0304,3,Gardnerella vaginalis,14018,1,2,0.14
D3,D,3,B,4.5,1A2,0304,3,Gardnerella vaginalis,14018,1,2,0.138
E3,E,3,B,4.5,1A2,0304,3,Gardnerella vaginalis,14018,1,2,0.128
F3,F,3,B,4.5,1A2,0304,3,Gardnerella vaginalis,14018,1,2,0.137
G3,G,3,Blank,4.5,1A2,0304,Blank,NA,NA,NA,NA,0.121
H3,H,3,A,7,1A2,0304,3,Gardnerella vaginalis,14018,1,2,0.881
A4,A,4,A,5,1A2,0304,3,Gardnerella vaginalis,14018,1,2,0.162
B4,B,4,A,5,1A2,0304,3,Gardnerella vaginalis,14018,1,2,0.178
C4,C,4,A,5,1A2,0304,3,Gardnerella vaginalis,14018,1,2,0.17
D4,D,4,B,5,1A2,0304,3,Gardnerella vaginalis,14018,1,2,0.137
E4,E,4,B,5,1A2,0304,3,Gardnerella vaginalis,14018,1,2,0.139
F4,F,4,B,5,1A2,0304,3,Gardnerella vaginalis,14018,1,2,0.16
G4,G,4,Blank,5,1A2,0304,Blank,NA,NA,NA,NA,0.085
H4,H,4,B,7,1A2,0304,3,Gardnerella vaginalis,14018,1,2,0.831
A5,A,5,A,5.5,1A2,0304,3,Gardnerella vaginalis,14018,1,2,0.282
B5,B,5,A,5.5,1A2,0304,3,Gardnerella vaginalis,14018,1,2,0.284
C5,C,5,A,5.5,1A2,0304,3,Gardnerella vaginalis,14018,1,2,0.263
D5,D,5,B,5.5,1A2,0304,3,Gardnerella vaginalis,14018,1,2,0.246
E5,E,5,B,5.5,1A2,0304,3,Gardnerella vaginalis,14018,1,2,0.263
F5,F,5,B,5.5,1A2,0304,3,Gardnerella vaginalis,14018,1,2,0.262
G5,G,5,Blank,5.5,1A2,0304,Blank,NA,NA,NA,NA,0.079
H5,H,5,B,7,1A2,0304,3,Gardnerella vaginalis,14018,1,2,0.887
A6,A,6,A,6,1A2,0304,3,Gardnerella vaginalis,14018,1,2,0.328
B6,B,6,A,6,1A2,0304,3,Gardnerella vaginalis,14018,1,2,0.394
C6,C,6,A,6,1A2,0304,3,Gardnerella vaginalis,14018,1,2,0.348
D6,D,6,B,6,1A2,0304,3,Gardnerella vaginalis,14018,1,2,0.384
E6,E,6,B,6,1A2,0304,3,Gardnerella vaginalis,14018,1,2,0.381
F6,F,6,B,6,1A2,0304,3,Gardnerella vaginalis,14018,1,2,0.39
G6,G,6,Blank,6,1A2,0304,Blank,NA,NA,NA,NA,0.148
H6,H,6,Blank,7,1A2,0304,Blank,NA,NA,NA,NA,0.056
A7,A,7,A,3.5,1A2,0304,4,Gardnerella sp. 8,C0056B5,1,2,0.075
B7,B,7,A,3.5,1A2,0304,4,Gardnerella sp. 8,C0056B5,1,2,0.074
C7,C,7,A,3.5,1A2,0304,4,Gardnerella sp. 8,C0056B5,1,2,0.072
D7,D,7,B,3.5,1A2,0304,4,Gardnerella sp. 8,C0056B5,1,2,0.075
E7,E,7,B,3.5,1A2,0304,4,Gardnerella sp. 8,C0056B5,1,2,0.077
F7,F,7,B,3.5,1A2,0304,4,Gardnerella sp. 8,C0056B5,1,2,0.079
G7,G,7,Blank,3.5,1A2,0304,Blank,NA,NA,NA,NA,0.07
H7,H,7,A,7,1A2,0304,4,Gardnerella sp. 8,C0056B5,1,2,0.185
A8,A,8,A,4,1A2,0304,4,Gardnerella sp. 8,C0056B5,1,2,0.095
B8,B,8,A,4,1A2,0304,4,Gardnerella sp. 8,C0056B5,1,2,0.097
C8,C,8,A,4,1A2,0304,4,Gardnerella sp. 8,C0056B5,1,2,0.099
D8,D,8,B,4,1A2,0304,4,Gardnerella sp. 8,C0056B5,1,2,0.105
E8,E,8,B,4,1A2,0304,4,Gardnerella sp. 8,C0056B5,1,2,0.104
F8,F,8,B,4,1A2,0304,4,Gardnerella sp. 8,C0056B5,1,2,0.107
G8,G,8,Blank,4,1A2,0304,Blank,NA,NA,NA,NA,0.098
H8,H,8,A,7,1A2,0304,4,Gardnerella sp. 8,C0056B5,1,2,0.2
A9,A,9,A,4.5,1A2,0304,4,Gardnerella sp. 8,C0056B5,1,2,0.1
B9,B,9,A,4.5,1A2,0304,4,Gardnerella sp. 8,C0056B5,1,2,0.111
C9,C,9,A,4.5,1A2,0304,4,Gardnerella sp. 8,C0056B5,1,2,0.111
D9,D,9,B,4.5,1A2,0304,4,Gardnerella sp. 8,C0056B5,1,2,0.109
E9,E,9,B,4.5,1A2,0304,4,Gardnerella sp. 8,C0056B5,1,2,0.109
F9,F,9,B,4.5,1A2,0304,4,Gardnerella sp. 8,C0056B5,1,2,0.112
G9,G,9,Blank,4.5,1A2,0304,Blank,NA,NA,NA,NA,0.114
H9,H,9,A,7,1A2,0304,4,Gardnerella sp. 8,C0056B5,1,2,0.162
A10,A,10,A,5,1A2,0304,4,Gardnerella sp. 8,C0056B5,1,2,0.087
B10,B,10,A,5,1A2,0304,4,Gardnerella sp. 8,C0056B5,1,2,0.094
C10,C,10,A,5,1A2,0304,4,Gardnerella sp. 8,C0056B5,1,2,0.084
D10,D,10,B,5,1A2,0304,4,Gardnerella sp. 8,C0056B5,1,2,0.085
E10,E,10,B,5,1A2,0304,4,Gardnerella sp. 8,C0056B5,1,2,0.084
F10,F,10,B,5,1A2,0304,4,Gardnerella sp. 8,C0056B5,1,2,0.084
G10,G,10,Blank,5,1A2,0304,Blank,NA,NA,NA,NA,0.081
H10,H,10,B,7,1A2,0304,4,Gardnerella sp. 8,C0056B5,1,2,0.221
A11,A,11,A,5.5,1A2,0304,4,Gardnerella sp. 8,C0056B5,1,2,0.169
B11,B,11,A,5.5,1A2,0304,4,Gardnerella sp. 8,C0056B5,1,2,0.233
C11,C,11,A,5.5,1A2,0304,4,Gardnerella sp. 8,C0056B5,1,2,0.187
D11,D,11,B,5.5,1A2,0304,4,Gardnerella sp. 8,C0056B5,1,2,0.19
E11,E,11,B,5.5,1A2,0304,4,Gardnerella sp. 8,C0056B5,1,2,0.116
F11,F,11,B,5.5,1A2,0304,4,Gardnerella sp. 8,C0056B5,1,2,0.155
G11,G,11,Blank,5.5,1A2,0304,Blank,NA,NA,NA,NA,0.055
H11,H,11,B,7,1A2,0304,4,Gardnerella sp. 8,C0056B5,1,2,0.247
A12,A,12,A,6,1A2,0304,4,Gardnerella sp. 8,C0056B5,1,2,0.1
B12,B,12,A,6,1A2,0304,4,Gardnerella sp. 8,C0056B5,1,2,0.272
C12,C,12,A,6,1A2,0304,4,Gardnerella sp. 8,C0056B5,1,2,0.269
D12,D,12,B,6,1A2,0304,4,Gardnerella sp. 8,C0056B5,1,2,0.289
E12,E,12,B,6,1A2,0304,4,Gardnerella sp. 8,C0056B5,1,2,0.3
F12,F,12,B,6,1A2,0304,4,Gardnerella sp. 8,C0056B5,1,2,0.355
G12,G,12,Blank,6,1A2,0304,Blank,NA,NA,NA,NA,0.07
H12,H,12,Blank,7,1A2,0304,Blank,NA,NA,NA,NA,0.054
A1,A,1,A,3.5,1A2,0506,5,Gardnerella swidsinskii,Gv5-1,1,2,0.061
B1,B,1,A,3.5,1A2,0506,5,Gardnerella swidsinskii,Gv5-1,1,2,0.062
C1,C,1,A,3.5,1A2,0506,5,Gardnerella swidsinskii,Gv5-1,1,2,0.062
D1,D,1,B,3.5,1A2,0506,5,Gardnerella swidsinskii,Gv5-1,1,2,0.068
E1,E,1,B,3.5,1A2,0506,5,Gardnerella swidsinskii,Gv5-1,1,2,0.067
F1,F,1,B,3.5,1A2,0506,5,Gardnerella swidsinskii,Gv5-1,1,2,0.068
G1,G,1,Blank,3.5,1A2,0506,Blank,NA,NA,NA,NA,0.063
H1,H,1,A,7,1A2,0506,5,Gardnerella swidsinskii,Gv5-1,1,2,0.054
A2,A,2,A,4,1A2,0506,5,Gardnerella swidsinskii,Gv5-1,1,2,0.087
B2,B,2,A,4,1A2,0506,5,Gardnerella swidsinskii,Gv5-1,1,2,0.093
C2,C,2,A,4,1A2,0506,5,Gardnerella swidsinskii,Gv5-1,1,2,0.093
D2,D,2,B,4,1A2,0506,5,Gardnerella swidsinskii,Gv5-1,1,2,0.097
E2,E,2,B,4,1A2,0506,5,Gardnerella swidsinskii,Gv5-1,1,2,0.096
F2,F,2,B,4,1A2,0506,5,Gardnerella swidsinskii,Gv5-1,1,2,0.096
G2,G,2,Blank,4,1A2,0506,Blank,NA,NA,NA,NA,0.092
H2,H,2,A,7,1A2,0506,5,Gardnerella swidsinskii,Gv5-1,1,2,0.058
A3,A,3,A,4.5,1A2,0506,5,Gardnerella swidsinskii,Gv5-1,1,2,0.108
B3,B,3,A,4.5,1A2,0506,5,Gardnerella swidsinskii,Gv5-1,1,2,0.126
C3,C,3,A,4.5,1A2,0506,5,Gardnerella swidsinskii,Gv5-1,1,2,0.124
D3,D,3,B,4.5,1A2,0506,5,Gardnerella swidsinskii,Gv5-1,1,2,0.158
E3,E,3,B,4.5,1A2,0506,5,Gardnerella swidsinskii,Gv5-1,1,2,0.15
F3,F,3,B,4.5,1A2,0506,5,Gardnerella swidsinskii,Gv5-1,1,2,0.15
G3,G,3,Blank,4.5,1A2,0506,Blank,NA,NA,NA,NA,0.122
H3,H,3,A,7,1A2,0506,5,Gardnerella swidsinskii,Gv5-1,1,2,0.057
A4,A,4,A,5,1A2,0506,5,Gardnerella swidsinskii,Gv5-1,1,2,0.085
B4,B,4,A,5,1A2,0506,5,Gardnerella swidsinskii,Gv5-1,1,2,0.09
C4,C,4,A,5,1A2,0506,5,Gardnerella swidsinskii,Gv5-1,1,2,0.092
D4,D,4,B,5,1A2,0506,5,Gardnerella swidsinskii,Gv5-1,1,2,0.138
